timestamp,operator,country,bundle_name,platform,content_title,views,watch_time_minutes,revenue,bundle_price,usage_mb,arpu_uplift,churn_risk,buffering_ratio,startup_time_ms,error_code
2026-01-01 00:00:00,Vodacom,Senegal,OTT Weekly Pass,Mobile,Documentary D,1,17,3.42,4.99,786,2.44,Medium,0.25,1582,BUFFERING_ERROR
2026-01-01 00:01:00,MTN,Cameroon,Premium Sports Bundle,Web,Documentary D,1,89,2.31,4.99,4239,1.87,Low,0.32,7887,
2026-01-01 00:02:00,Moov,Ivory Coast,OTT Daily Pass,STB,Documentary D,1,18,4.6,14.99,4650,2.09,Medium,0.38,1560,LOW_BITRATE
2026-01-01 00:03:00,Orange,Senegal,OTT Daily Pass,STB,Series A,1,11,1.0,1.99,765,0.2,Low,0.11,5625,LOW_BITRATE
2026-01-01 00:04:00,Airtel,Benin,Premium Sports Bundle,Smart TV,Series A,1,53,7.75,14.99,1355,2.62,Medium,0.19,8851,LOW_BITRATE
2026-01-01 00:05:00,Orange,Senegal,OTT Weekly Pass,STB,Documentary D,1,74,1.34,1.99,3989,0.29,High,0.09,6314,
2026-01-01 00:06:00,Orange,Rwanda,OTT Weekly Pass,Mobile,Kids Show,1,44,2.96,4.99,1143,2.99,High,0.34,4970,
2026-01-01 00:07:00,MTN,Cameroon,OTT Weekly Pass,STB,Series A,1,91,3.4,9.99,851,3.11,Low,0.26,2918,
2026-01-01 00:08:00,Moov,Cameroon,Family Entertainment,Mobile,Kids Show,1,75,1.69,4.99,964,0.95,High,0.05,5484,LOW_BITRATE
2026-01-01 00:09:00,Airtel,Benin,Premium Sports Bundle,Web,Series A,1,114,6.59,14.99,3685,0.44,Low,0.42,1515,
2026-01-01 00:10:00,Vodacom,Senegal,Family Entertainment,Mobile,Documentary D,1,32,5.7,9.99,815,3.21,Medium,0.28,6438,LOW_BITRATE
2026-01-01 00:11:00,MTN,Cameroon,OTT Daily Pass,Smart TV,Movie C,1,40,4.11,9.99,4754,0.57,Low,0.29,8783,BUFFERING_ERROR
2026-01-01 00:12:00,Orange,Morocco,Family Entertainment,Mobile,Movie C,1,84,1.09,1.99,3902,2.85,Low,0.33,5462,AUTH_ERROR
2026-01-01 00:13:00,MTN,Morocco,OTT Daily Pass,Web,Sport Live,1,52,3.6,9.99,955,2.04,Low,0.1,5131,
2026-01-01 00:14:00,Moov,Cameroon,OTT Daily Pass,Mobile,Movie C,1,105,2.16,4.99,2614,0.39,High,0.33,8910,
2026-01-01 00:15:00,Orange,Benin,Premium Sports Bundle,STB,Documentary D,1,5,9.34,14.99,3559,2.47,Medium,0.21,8349,
2026-01-01 00:16:00,Vodacom,Rwanda,Family Entertainment,Web,Movie C,1,77,1.03,1.99,3360,3.12,High,0.18,6280,
2026-01-01 00:17:00,Moov,Benin,Premium Sports Bundle,Mobile,Documentary D,1,100,9.63,14.99,3994,0.19,Medium,0.29,4434,AUTH_ERROR
2026-01-01 00:18:00,Moov,Ivory Coast,OTT Daily Pass,Web,Kids Show,1,22,1.23,1.99,4003,1.94,Low,0.07,5671,
2026-01-01 00:19:00,Airtel,Senegal,Zero-Rating Bundle,Mobile,Kids Show,1,57,3.54,9.99,2345,1.09,Low,0.38,3987,AUTH_ERROR
2026-01-01 00:20:00,MTN,Rwanda,Premium Sports Bundle,Smart TV,Sport Live,1,74,6.05,9.99,1184,2.27,Low,0.28,1704,AUTH_ERROR
2026-01-01 00:21:00,Vodacom,Rwanda,OTT Weekly Pass,Smart TV,Series A,1,74,3.92,9.99,3701,1.55,High,0.11,7192,
2026-01-01 00:22:00,Orange,Benin,Zero-Rating Bundle,Web,Movie C,1,82,9.76,14.99,1169,1.42,Low,0.37,5812,
2026-01-01 00:23:00,MTN,Benin,OTT Weekly Pass,Smart TV,Kids Show,1,96,8.93,14.99,2925,0.52,Low,0.22,8124,AUTH_ERROR
2026-01-01 00:24:00,MTN,Benin,OTT Daily Pass,Mobile,Series A,1,99,2.11,4.99,833,1.9,High,0.04,3416,
2026-01-01 00:25:00,Airtel,Ivory Coast,Premium Sports Bundle,Smart TV,Movie C,1,36,7.47,14.99,1276,3.04,Medium,0.26,7925,
2026-01-01 00:26:00,Moov,Ivory Coast,Premium Sports Bundle,STB,Documentary D,1,59,3.01,9.99,2443,1.36,High,0.01,4466,AUTH_ERROR
2026-01-01 00:27:00,Airtel,Benin,Zero-Rating Bundle,Mobile,Series A,1,38,0.89,1.99,3435,0.75,High,0.03,2545,AUTH_ERROR
2026-01-01 00:28:00,Airtel,Morocco,Family Entertainment,Web,Documentary D,1,56,5.71,9.99,3989,2.62,High,0.35,7540,LOW_BITRATE
2026-01-01 00:29:00,Airtel,Morocco,OTT Weekly Pass,Smart TV,Sport Live,1,42,3.33,4.99,4433,2.6,High,0.37,7746,BUFFERING_ERROR
2026-01-01 00:30:00,Vodacom,Morocco,Family Entertainment,STB,Documentary D,1,111,0.98,1.99,4257,2.89,Low,0.06,1961,AUTH_ERROR
2026-01-01 00:31:00,Vodacom,Morocco,OTT Weekly Pass,Smart TV,Documentary D,1,92,3.03,4.99,4892,2.31,High,0.43,7648,BUFFERING_ERROR
2026-01-01 00:32:00,Airtel,Senegal,Family Entertainment,STB,Documentary D,1,110,8.55,14.99,3967,0.45,Low,0.32,5130,BUFFERING_ERROR
2026-01-01 00:33:00,Airtel,Morocco,Family Entertainment,Smart TV,Series A,1,22,1.28,1.99,2627,1.98,High,0.29,4098,BUFFERING_ERROR
2026-01-01 00:34:00,MTN,Rwanda,Premium Sports Bundle,Web,Documentary D,1,72,5.87,9.99,4474,1.16,Low,0.39,8533,
2026-01-01 00:35:00,MTN,Senegal,Zero-Rating Bundle,Mobile,Movie C,1,101,5.4,14.99,276,2.2,High,0.08,3407,
2026-01-01 00:36:00,MTN,Rwanda,Zero-Rating Bundle,STB,Kids Show,1,6,2.72,4.99,2248,1.88,High,0.21,2845,
2026-01-01 00:37:00,Airtel,Rwanda,Zero-Rating Bundle,STB,Movie C,1,120,1.7,4.99,910,2.66,High,0.44,8518,LOW_BITRATE
2026-01-01 00:38:00,Moov,Cameroon,Premium Sports Bundle,STB,Documentary D,1,117,4.92,14.99,3181,1.34,High,0.05,3984,AUTH_ERROR
2026-01-01 00:39:00,Airtel,Ivory Coast,Family Entertainment,STB,Series A,1,81,1.01,1.99,4594,1.79,Low,0.35,8976,AUTH_ERROR
2026-01-01 00:40:00,Vodacom,Morocco,OTT Weekly Pass,Smart TV,Documentary D,1,74,0.64,1.99,4895,0.44,Low,0.05,6504,
2026-01-01 00:41:00,MTN,Senegal,OTT Weekly Pass,Smart TV,Sport Live,1,13,0.84,1.99,1912,0.48,Low,0.43,7714,LOW_BITRATE
2026-01-01 00:42:00,MTN,Benin,Family Entertainment,Mobile,Kids Show,1,46,5.92,14.99,4813,3.36,Medium,0.22,6828,BUFFERING_ERROR
2026-01-01 00:43:00,Vodacom,Rwanda,Family Entertainment,Web,Movie C,1,94,6.77,14.99,4414,0.27,High,0.23,2685,
2026-01-01 00:44:00,Moov,Cameroon,OTT Weekly Pass,Mobile,Kids Show,1,35,1.17,1.99,4581,1.34,High,0.33,2584,LOW_BITRATE
2026-01-01 00:45:00,Vodacom,Cameroon,OTT Daily Pass,Web,Series A,1,49,2.18,4.99,2829,0.31,High,0.19,6761,AUTH_ERROR
2026-01-01 00:46:00,Orange,Senegal,OTT Weekly Pass,Mobile,Movie C,1,36,1.02,1.99,1055,1.36,Low,0.13,2047,BUFFERING_ERROR
2026-01-01 00:47:00,Moov,Senegal,Zero-Rating Bundle,Web,Movie C,1,116,2.3,4.99,1634,3.38,High,0.2,755,LOW_BITRATE
2026-01-01 00:48:00,Vodacom,Ivory Coast,Zero-Rating Bundle,Mobile,Movie C,1,57,9.78,14.99,1441,3.44,Low,0.05,6361,
2026-01-01 00:49:00,Vodacom,Benin,Zero-Rating Bundle,Mobile,Kids Show,1,50,0.99,1.99,2225,2.55,High,0.11,895,LOW_BITRATE
2026-01-01 00:50:00,Moov,Ivory Coast,Premium Sports Bundle,Smart TV,Sport Live,1,24,3.02,4.99,1525,1.41,Low,0.33,2086,LOW_BITRATE
2026-01-01 00:51:00,MTN,Cameroon,OTT Daily Pass,Mobile,Series A,1,110,9.71,14.99,4060,2.53,Medium,0.19,2250,
2026-01-01 00:52:00,Airtel,Benin,Zero-Rating Bundle,STB,Documentary D,1,65,3.46,4.99,283,1.38,High,0.17,7407,LOW_BITRATE
2026-01-01 00:53:00,Moov,Morocco,OTT Weekly Pass,STB,Kids Show,1,71,8.67,14.99,293,1.21,High,0.39,8134,
2026-01-01 00:54:00,Vodacom,Senegal,OTT Daily Pass,Smart TV,Documentary D,1,85,4.83,14.99,1377,0.85,Low,0.44,5948,
2026-01-01 00:55:00,MTN,Benin,Premium Sports Bundle,Mobile,Kids Show,1,12,8.1,14.99,4329,2.23,Low,0.05,1311,LOW_BITRATE
2026-01-01 00:56:00,Vodacom,Cameroon,Premium Sports Bundle,Mobile,Movie C,1,69,0.97,1.99,2288,1.79,High,0.03,3541,
2026-01-01 00:57:00,Orange,Ivory Coast,Family Entertainment,Web,Kids Show,1,119,7.13,14.99,636,1.86,Low,0.33,4907,
2026-01-01 00:58:00,MTN,Benin,Zero-Rating Bundle,STB,Kids Show,1,29,1.23,1.99,2920,0.48,Low,0.31,3249,BUFFERING_ERROR
2026-01-01 00:59:00,Moov,Rwanda,Premium Sports Bundle,Smart TV,Documentary D,1,54,0.77,1.99,2751,1.21,Medium,0.21,2858,LOW_BITRATE
2026-01-01 01:00:00,Vodacom,Rwanda,Zero-Rating Bundle,Smart TV,Kids Show,1,82,2.71,4.99,2171,0.59,Low,0.35,1037,BUFFERING_ERROR
2026-01-01 01:01:00,Moov,Senegal,Premium Sports Bundle,Web,Sport Live,1,41,9.93,14.99,2274,0.45,High,0.05,6792,
