timestamp,region,user_id,device,latency,bitrate,status,cdn,video_id
2026-04-29T00:00:00,FR,user_0,ios,967,1435,200,akamai,vid_12
2026-04-29T00:00:01,EG,user_1,ios,165,2766,200,cloudflare,vid_7
2026-04-29T00:00:02,AE,user_2,ios,177,3722,200,cloudflare,vid_30
2026-04-29T00:00:03,FR,user_3,android,673,4449,200,akamai,vid_42
2026-04-29T00:00:04,EG,user_4,ios,149,2997,200,cloudfront,vid_24
2026-04-29T00:00:05,FR,user_5,web,114,1365,200,akamai,vid_49
2026-04-29T00:00:06,AE,user_6,smart_tv,691,4150,200,akamai,vid_29
2026-04-29T00:00:07,AE,user_7,android,714,1124,200,cloudflare,vid_37
2026-04-29T00:00:08,MA,user_8,ios,197,4142,200,cloudflare,vid_40
2026-04-29T00:00:09,AE,user_9,ios,162,2961,200,akamai,vid_42
2026-04-29T00:00:10,AE,user_10,ios,156,3676,200,cloudfront,vid_6
2026-04-29T00:00:11,FR,user_11,android,802,3654,500,cloudfront,vid_39
2026-04-29T00:00:12,FR,user_12,smart_tv,228,3348,200,cloudfront,vid_44
2026-04-29T00:00:13,AE,user_13,ios,264,1854,200,akamai,vid_49
2026-04-29T00:00:14,MA,user_14,android,169,4786,200,akamai,vid_40
2026-04-29T00:00:15,MA,user_15,ios,675,779,500,akamai,vid_37
2026-04-29T00:00:16,MA,user_16,web,98,1388,200,cloudflare,vid_6
2026-04-29T00:00:17,MA,user_17,ios,875,3759,200,cloudflare,vid_23
2026-04-29T00:00:18,EG,user_18,web,749,2439,200,akamai,vid_1
2026-04-29T00:00:19,AE,user_19,smart_tv,205,3255,200,cloudfront,vid_1
2026-04-29T00:00:20,EG,user_20,smart_tv,193,3955,200,akamai,vid_43
2026-04-29T00:00:21,AE,user_21,ios,862,2983,200,cloudfront,vid_14
2026-04-29T00:00:22,FR,user_22,android,133,4092,200,cloudflare,vid_48
2026-04-29T00:00:23,EG,user_23,android,810,3470,500,cloudflare,vid_9
2026-04-29T00:00:24,EG,user_24,ios,187,500,200,cloudflare,vid_17
2026-04-29T00:00:25,AE,user_25,smart_tv,189,2521,200,cloudfront,vid_25
2026-04-29T00:00:26,MA,user_26,web,242,3405,500,cloudfront,vid_39
2026-04-29T00:00:27,FR,user_27,smart_tv,836,2930,200,cloudflare,vid_30
